,u,i,ts,label,idx
88,55,6,1094908800.0,1,89
89,28,6,1094908860.0,1,90
90,8,6,1094914560.0,1,91
91,63,6,1094918400.0,1,92
92,5,6,1094925060.0,1,93
93,26,6,1094951040.0,1,94
94,25,6,1094953560.0,-1,95
95,56,6,1095019200.0,1,96
96,64,6,1095022260.0,1,97
97,19,6,1095029460.0,1,98
98,20,6,1095031620.0,1,99
99,7,6,1095184140.0,1,100
100,65,6,1095303660.0,1,101
101,66,6,1095422160.0,1,102
102,39,6,1095485640.0,1,103
103,55,38,1094770020.0,1,104
104,28,38,1094770440.0,1,105
105,36,38,1094772240.0,1,106
106,33,38,1094772360.0,1,107
107,19,38,1094776500.0,1,108
108,4,38,1094808840.0,1,109
109,6,38,1094838120.0,1,110
110,11,38,1094871540.0,1,111
111,26,38,1094950860.0,1,112
112,10,38,1095019920.0,1,113
113,7,38,1095184440.0,1,114
114,5,38,1095286800.0,1,115
115,15,38,1095339300.0,1,116
116,23,38,1095374460.0,1,117
117,33,8,1095192720.0,1,118
118,10,8,1095192900.0,1,119
119,72,8,1095192960.0,1,120
120,55,8,1095193080.0,1,121
121,6,8,1095193200.0,1,122
122,4,8,1095193500.0,-1,123
123,17,8,1095195300.0,1,124
124,5,8,1095195600.0,1,125
125,73,8,1095199500.0,1,126
126,11,8,1095215400.0,1,127
127,75,8,1095215700.0,1,128
128,12,8,1095223080.0,-1,129
129,76,8,1095256140.0,1,130
130,28,8,1095257160.0,1,131
131,24,8,1095257520.0,1,132
132,78,8,1095269100.0,-1,133
133,79,8,1095279480.0,-1,134
134,25,8,1095306420.0,-1,135
135,77,8,1095313800.0,1,136
136,80,8,1095318780.0,-1,137
137,45,8,1095322080.0,-1,138
138,47,8,1095323100.0,-1,139
139,81,8,1095342000.0,-1,140
140,29,8,1095355080.0,1,141
141,11,33,1095322200.0,1,142
142,83,33,1095322560.0,1,143
143,40,33,1095322800.0,1,144
144,17,33,1095336060.0,1,145
145,9,33,1095336300.0,1,146
146,41,33,1095337620.0,1,147
147,10,33,1095338160.0,1,148
148,91,33,1095338400.0,-1,149
149,67,33,1095339120.0,1,150
150,84,33,1095343800.0,1,151
151,35,33,1095346020.0,1,152
152,20,33,1095348240.0,1,153
153,85,33,1095351900.0,1,154
154,5,33,1095354240.0,1,155
155,6,33,1095354420.0,1,156
156,8,33,1095356040.0,1,157
157,59,33,1095362460.0,1,158
158,28,33,1095373620.0,1,159
159,26,33,1095373920.0,1,160
160,25,33,1095397200.0,1,161
161,19,33,1095452100.0,1,162
162,15,33,1095456900.0,1,163
163,86,33,1095459060.0,1,164
164,71,33,1095464340.0,1,165
165,87,33,1095532860.0,1,166
166,80,33,1095543000.0,1,167
167,88,33,1095621840.0,-1,168
168,23,33,1095683400.0,1,169
169,51,33,1095701640.0,1,170
170,24,33,1095711720.0,1,171
171,89,33,1095718140.0,1,172
172,29,33,1095732180.0,1,173
173,90,33,1095826500.0,1,174
174,39,33,1095893640.0,1,175
175,6,93,1095374040.0,1,176
176,26,93,1095374100.0,-1,177
177,11,93,1095374160.0,1,178
178,27,93,1095379380.0,-1,179
179,92,93,1095440940.0,1,180
180,5,93,1095447840.0,1,181
181,7,93,1095448200.0,-1,182
182,82,93,1095600540.0,1,183
183,51,93,1095701400.0,1,184
184,94,93,1095710880.0,-1,185
185,71,93,1095723480.0,-1,186
186,29,93,1095732180.0,-1,187
187,79,93,1095894900.0,-1,188
188,47,93,1095999540.0,-1,189
189,10,93,1096004580.0,-1,190
190,58,93,1096019160.0,-1,191
191,81,93,1096047240.0,-1,192
192,9,10,1094624220.0,1,193
193,95,10,1094650140.0,1,194
194,4,10,1094650440.0,-1,195
195,5,10,1094658720.0,1,196
196,8,10,1094669100.0,1,197
197,17,10,1094730600.0,1,198
198,14,10,1094736420.0,-1,199
199,47,10,1094795220.0,-1,200
200,99,10,1094807220.0,-1,201
201,11,10,1094871900.0,1,202
202,6,10,1094914380.0,1,203
203,96,10,1094934180.0,1,204
204,100,10,1094937240.0,-1,205
205,29,10,1095009480.0,1,206
206,98,10,1095084480.0,-1,207
207,31,95,1080530220.0,1,208
208,102,95,1080530400.0,1,209
209,103,95,1080536100.0,1,210
210,115,95,1080536400.0,-1,211
211,15,95,1080555900.0,-1,212
212,116,95,1080559500.0,-1,213
213,104,95,1080564780.0,1,214
214,17,95,1080570060.0,1,215
215,105,95,1080576300.0,1,216
216,106,95,1080592980.0,1,217
217,68,95,1080606960.0,-1,218
218,117,95,1080610500.0,-1,219
219,118,95,1080647520.0,-1,220
220,119,95,1080649560.0,-1,221
221,107,95,1080669780.0,1,222
222,108,95,1080687240.0,1,223
223,109,95,1080698880.0,1,224
224,110,95,1080718500.0,1,225
225,11,95,1080727500.0,-1,226
226,111,95,1080745260.0,1,227
227,120,95,1080748080.0,-1,228
228,112,95,1080748260.0,1,229
229,14,95,1080750000.0,-1,230
230,121,95,1080757140.0,-1,231
231,122,95,1080762540.0,-1,232
232,113,95,1080762780.0,1,233
233,29,95,1080781380.0,1,234
234,123,95,1080811320.0,-1,235
235,124,95,1080816960.0,-1,236
236,114,95,1080851700.0,1,237
237,73,95,1080976860.0,1,238
238,9,130,1095448680.0,1,239
239,5,130,1095450180.0,1,240
240,19,130,1095451740.0,1,241
241,29,130,1095453660.0,1,242
242,11,130,1095456420.0,1,243
243,26,130,1095460020.0,1,244
244,4,130,1095518640.0,1,245
245,6,130,1095522360.0,1,246
246,8,130,1095532380.0,1,247
247,77,130,1095536880.0,1,248
248,28,130,1095563880.0,1,249
249,94,130,1095710460.0,1,250
250,10,130,1095841320.0,1,251
251,126,130,1095874500.0,1,252
252,24,130,1095877560.0,1,253
253,127,130,1095879960.0,1,254
254,68,130,1095892260.0,1,255
255,14,130,1095904020.0,1,256
256,128,130,1095984600.0,1,257
257,129,130,1096035420.0,1,258
258,9,144,1100026920.0,-1,259
259,132,144,1100027220.0,-1,260
260,23,144,1100027280.0,-1,261
261,58,144,1100027940.0,-1,262
262,133,144,1100028000.0,-1,263
263,72,144,1100028780.0,-1,264
264,134,144,1100029800.0,-1,265
265,78,144,1100030040.0,-1,266
266,135,144,1100035320.0,-1,267
267,136,144,1100035620.0,-1,268
268,55,144,1100036580.0,-1,269
269,18,144,1100037180.0,-1,270
270,137,144,1100037360.0,-1,271
271,127,144,1100037420.0,-1,272
272,138,144,1100040300.0,-1,273
273,21,144,1100041440.0,-1,274
274,33,144,1100041680.0,-1,275
275,28,144,1100041920.0,-1,276
276,139,144,1100042160.0,-1,277
277,140,144,1100042640.0,-1,278
278,103,144,1100044620.0,-1,279
279,26,144,1100046780.0,-1,280
280,80,144,1100062920.0,-1,281
281,141,144,1100067000.0,-1,282
282,27,144,1100067420.0,-1,283
283,142,144,1100073660.0,-1,284
284,71,144,1100094900.0,-1,285
285,143,144,1100108160.0,-1,286
286,8,144,1100126640.0,-1,287
287,4,147,1095698760.0,1,288
288,44,147,1095701160.0,1,289
289,94,147,1095710160.0,-1,290
290,29,147,1095720660.0,1,291
291,26,147,1095778920.0,1,292
292,145,147,1095818280.0,1,293
293,10,147,1095841680.0,1,294
294,142,147,1095861720.0,-1,295
295,33,147,1095874860.0,1,296
296,28,147,1095879540.0,1,297
297,146,147,1096082460.0,1,298
298,39,147,1096103520.0,1,299
299,11,147,1096119360.0,1,300
300,6,147,1096140900.0,1,301
301,5,147,1096247400.0,1,302
302,149,151,1095707880.0,1,303
303,23,151,1095709200.0,-1,304
304,94,151,1095709260.0,-1,305
305,41,151,1095710520.0,-1,306
306,20,151,1095717780.0,-1,307
307,71,151,1095723900.0,-1,308
308,80,151,1095726240.0,-1,309
309,29,151,1095732060.0,1,310
310,26,151,1095779160.0,-1,311
311,19,151,1095796740.0,1,312
312,47,151,1095827280.0,1,313
313,28,50,1095713580.0,1,314
314,152,50,1095714180.0,1,315
315,86,50,1095716580.0,1,316
316,58,50,1095717000.0,1,317
317,20,50,1095717900.0,1,318
318,33,50,1095719220.0,1,319
319,35,50,1095736260.0,1,320
320,37,50,1095776220.0,1,321
321,26,50,1095779220.0,1,322
322,71,50,1095785520.0,1,323
323,17,50,1095794700.0,1,324
324,19,50,1095796800.0,1,325
325,8,50,1095803940.0,1,326
326,29,50,1095806160.0,1,327
327,153,50,1095829260.0,1,328
328,47,50,1095829440.0,1,329
329,10,50,1095841200.0,1,330
330,11,50,1095842640.0,1,331
331,154,50,1095847620.0,1,332
332,155,50,1095861720.0,1,333
333,24,50,1095877500.0,1,334
334,36,50,1095944400.0,1,335
335,80,50,1096004940.0,1,336
336,156,50,1096035540.0,1,337
337,79,50,1096046820.0,-1,338
338,23,50,1096078620.0,1,339
339,39,50,1096103520.0,1,340
340,6,50,1096140900.0,1,341
341,5,50,1096247340.0,1,342
342,157,50,1096252440.0,1,343
343,25,50,1096262160.0,1,344
344,42,50,1096319940.0,1,345
345,158,153,1095834300.0,-1,346
346,159,153,1095834420.0,-1,347
347,89,153,1095834420.0,-1,348
348,10,153,1095841440.0,-1,349
349,67,153,1095843600.0,-1,350
350,11,153,1095845520.0,-1,351
351,154,153,1095847920.0,-1,352
352,160,153,1095858720.0,-1,353
353,20,153,1095862200.0,-1,354
354,8,153,1095872040.0,-1,355
355,93,153,1095874920.0,1,356
356,79,153,1095894720.0,-1,357
357,138,153,1095899580.0,-1,358
358,27,153,1095900660.0,-1,359
359,35,153,1096064700.0,-1,360
360,161,153,1096129440.0,-1,361
361,6,153,1096141500.0,-1,362
362,5,153,1096247580.0,1,363
363,58,89,1095837060.0,1,364
364,10,89,1095841380.0,1,365
365,11,89,1095842940.0,1,366
366,72,89,1095854100.0,1,367
367,155,89,1095862740.0,1,368
368,20,89,1095868680.0,1,369
369,26,89,1095868860.0,1,370
370,8,89,1095872100.0,1,371
371,138,89,1095899760.0,1,372
372,36,89,1095944340.0,1,373
373,19,89,1095992340.0,1,374
374,6,89,1096140840.0,1,375
375,5,89,1096247460.0,1,376
376,162,89,1096320180.0,1,377
377,65,89,1096373640.0,1,378
378,21,89,1096383600.0,1,379
379,47,163,1095854820.0,1,380
380,11,163,1095862260.0,1,381
381,26,163,1095868980.0,1,382
382,8,163,1095871860.0,1,383
383,28,163,1095886080.0,1,384
384,39,163,1095890520.0,1,385
385,19,163,1095899580.0,1,386
386,138,163,1095900060.0,1,387
387,10,163,1096004400.0,1,388
388,6,163,1096140960.0,1,389
389,5,163,1096247280.0,1,390
390,58,163,1096250040.0,1,391
391,156,163,1096385520.0,-1,392
392,23,163,1096423500.0,1,393
393,8,167,1095872640.0,-1,394
394,33,167,1095873000.0,-1,395
395,20,167,1095876660.0,-1,396
396,26,167,1095894480.0,-1,397
397,27,167,1095900420.0,-1,398
398,58,167,1095998580.0,-1,399
399,6,167,1096140780.0,-1,400
400,5,167,1096247520.0,1,401
401,79,167,1096317720.0,-1,402
402,59,167,1096418760.0,1,403
403,103,167,1096419540.0,-1,404
404,165,167,1107172860.0,-1,405
405,39,168,1095890820.0,1,406
406,26,168,1095894360.0,1,407
407,19,168,1095899520.0,1,408
408,138,168,1095899700.0,1,409
409,47,168,1095899760.0,1,410
410,154,168,1095900720.0,1,411
411,20,168,1095902280.0,1,412
412,80,168,1095907920.0,1,413
413,48,168,1095917220.0,1,414
414,37,168,1095936660.0,1,415
415,92,168,1095955260.0,1,416
416,89,168,1095957900.0,1,417
417,9,168,1095969360.0,1,418
418,8,168,1095978180.0,1,419
419,10,168,1096004340.0,1,420
420,156,168,1096036020.0,1,421
421,71,168,1096055460.0,1,422
422,23,168,1096115160.0,1,423
423,11,168,1096119180.0,1,424
424,6,168,1096141080.0,1,425
425,162,168,1096235580.0,1,426
426,5,168,1096247280.0,1,427
427,21,168,1096383480.0,1,428
428,59,168,1096417560.0,1,429
429,68,127,1095893220.0,1,430
430,26,127,1095893580.0,1,431
431,29,127,1095896460.0,1,432
432,28,127,1095897060.0,1,433
433,19,127,1095899460.0,1,434
434,23,127,1095901260.0,1,435
435,39,127,1095901440.0,1,436
436,94,127,1095902100.0,-1,437
437,14,127,1095903960.0,1,438
438,33,127,1095933840.0,1,439
439,8,127,1095977700.0,1,440
440,128,127,1095984240.0,1,441
441,17,127,1096059720.0,1,442
442,11,127,1096119000.0,1,443
443,6,127,1096141140.0,1,444
444,5,127,1096247220.0,1,445
445,58,127,1096249320.0,1,446
446,25,127,1096261980.0,-1,447
447,47,127,1096289940.0,1,448
448,29,23,1095896880.0,1,449
449,58,23,1095897300.0,1,450
450,39,23,1095898200.0,1,451
451,90,23,1095898800.0,1,452
452,19,23,1095899460.0,1,453
453,94,23,1095903120.0,-1,454
454,171,23,1095906420.0,1,455
455,9,23,1095969300.0,1,456
456,8,23,1095977580.0,1,457
457,10,23,1096003920.0,1,458
458,26,23,1096039920.0,1,459
459,154,23,1096056660.0,1,460
460,15,23,1096077660.0,1,461
461,11,23,1096118940.0,1,462
462,6,23,1096141260.0,1,463
463,14,23,1096175280.0,1,464
464,5,23,1096247160.0,1,465
465,157,23,1096252200.0,1,466
466,25,23,1096261620.0,1,467
467,42,23,1096319820.0,1,468
468,172,23,1096369260.0,1,469
469,50,23,1096464660.0,1,470
470,23,175,1096000560.0,-1,471
471,27,175,1096003980.0,-1,472
472,81,175,1096046820.0,-1,473
473,5,175,1096247460.0,1,474
474,173,175,1096280520.0,1,475
475,174,175,1096377960.0,-1,476
476,75,154,1096128600.0,1,477
477,161,154,1096129320.0,1,478
478,28,154,1096129560.0,1,479
479,6,154,1096141320.0,1,480
480,11,154,1096142820.0,1,481
481,8,154,1096144620.0,1,482
482,26,154,1096147500.0,1,483
483,29,154,1096153860.0,1,484
484,74,154,1096257240.0,1,485
485,25,154,1096261140.0,-1,486
486,47,154,1096289880.0,1,487
487,87,154,1096296780.0,1,488
488,44,154,1096318080.0,1,489
489,19,154,1096337580.0,1,490
490,10,154,1096373220.0,1,491
491,50,154,1096464780.0,1,492
492,176,154,1096494900.0,1,493
493,58,154,1096506420.0,1,494
494,20,183,1096555140.0,1,495
495,66,183,1096555980.0,1,496
496,177,183,1096556220.0,1,497
497,41,183,1096559940.0,1,498
498,33,183,1096561200.0,1,499
499,23,183,1096564680.0,1,500
500,94,183,1096567200.0,1,501
501,17,183,1096567860.0,1,502
502,35,183,1096576020.0,1,503
503,29,183,1096579860.0,1,504
504,11,183,1096632240.0,1,505
505,8,183,1096667280.0,1,506
506,143,183,1096684620.0,1,507
507,87,183,1096719840.0,1,508
508,19,183,1096732980.0,1,509
509,178,183,1096739640.0,1,510
510,179,183,1096761480.0,1,511
511,180,183,1096773480.0,1,512
512,181,183,1096782840.0,1,513
513,26,183,1096838220.0,1,514
514,10,183,1096897260.0,1,515
515,182,183,1096922760.0,1,516
516,21,183,1096946820.0,1,517
517,58,183,1096947780.0,1,518
518,14,183,1096974180.0,1,519
519,6,183,1097066460.0,1,520
520,27,183,1097118660.0,1,521
521,23,214,1096838220.0,-1,522
522,24,214,1096846080.0,-1,523
523,47,214,1096857000.0,-1,524
524,166,214,1096879500.0,1,525
525,67,214,1096894620.0,1,526
526,185,214,1096896180.0,1,527
527,152,214,1096896720.0,1,528
528,194,214,1096897140.0,-1,529
529,10,214,1096897260.0,1,530
530,94,214,1096897320.0,1,531
531,11,214,1096897380.0,1,532
532,9,214,1096897560.0,-1,533
533,81,214,1096901160.0,-1,534
534,40,214,1096901640.0,1,535
535,4,214,1096902240.0,-1,536
536,187,214,1096902840.0,1,537
537,12,214,1096903560.0,-1,538
538,188,214,1096905000.0,1,539
539,35,214,1096907340.0,1,540
540,17,214,1096914960.0,1,541
541,18,214,1096916160.0,-1,542
542,79,214,1096918320.0,-1,543
543,8,214,1096923000.0,1,544
544,32,214,1096923300.0,-1,545
545,90,214,1096923540.0,1,546
546,26,214,1096925520.0,1,547
547,29,214,1096926600.0,1,548
548,51,214,1096926960.0,1,549
549,28,214,1096929060.0,1,550
550,19,214,1096946940.0,1,551
551,44,214,1096958040.0,-1,552
552,14,214,1096973700.0,-1,553
553,42,214,1096999920.0,-1,554
554,189,214,1097002500.0,1,555
555,73,214,1097009640.0,1,556
556,143,214,1097010000.0,1,557
557,33,214,1097022900.0,1,558
558,177,214,1097038500.0,-1,559
559,196,214,1097052540.0,-1,560
560,54,214,1097052960.0,1,561
561,190,214,1097067180.0,1,562
562,25,214,1097086860.0,-1,563
563,197,214,1097091000.0,-1,564
564,195,214,1097097060.0,-1,565
565,198,214,1097098200.0,-1,566
566,56,214,1097100720.0,1,567
567,199,214,1097102280.0,-1,568
568,172,214,1097104020.0,-1,569
569,15,214,1097105100.0,1,570
570,13,214,1097118780.0,-1,571
571,55,214,1097122980.0,1,572
572,145,214,1097147940.0,1,573
573,191,214,1097184960.0,1,574
574,200,214,1097185320.0,-1,575
575,104,214,1097194320.0,-1,576
576,46,214,1097197800.0,1,577
577,201,214,1097206200.0,-1,578
578,155,214,1097217240.0,1,579
579,59,214,1097217780.0,1,580
580,202,214,1097355240.0,-1,581
581,77,214,1097389440.0,1,582
582,203,214,1097391060.0,-1,583
583,204,214,1097392980.0,-1,584
584,205,214,1097394000.0,-1,585
585,206,214,1097394720.0,-1,586
586,207,214,1097395320.0,-1,587
587,3,214,1097395680.0,1,588
588,208,214,1097395980.0,-1,589
589,181,214,1097396880.0,-1,590
590,209,214,1097397120.0,-1,591
591,192,214,1097400480.0,1,592
592,210,214,1097423880.0,-1,593
593,125,214,1101059640.0,1,594
594,28,216,1096895820.0,1,595
595,20,216,1096901820.0,1,596
596,50,216,1096911540.0,1,597
597,39,216,1096918800.0,1,598
598,26,216,1096922640.0,1,599
599,8,216,1096923480.0,1,600
600,19,216,1096946820.0,1,601
601,11,216,1096949520.0,1,602
602,14,216,1096974060.0,1,603
603,37,216,1096984560.0,1,604
604,55,216,1097018040.0,1,605
605,40,216,1097019960.0,1,606
606,6,216,1097067060.0,1,607
607,143,216,1097081940.0,1,608
608,128,216,1097089440.0,1,609
609,27,216,1097096160.0,1,610
610,13,216,1097218500.0,1,611
611,47,216,1097242200.0,1,612
612,180,216,1097295060.0,1,613
613,215,216,1097435940.0,1,614
614,10,216,1097488020.0,1,615
615,12,219,1096942020.0,1,616
616,217,219,1096942620.0,1,617
617,11,219,1096946040.0,1,618
618,19,219,1096946700.0,1,619
619,94,219,1096953240.0,1,620
620,21,219,1096966560.0,1,621
621,14,219,1096974000.0,1,622
622,113,219,1096994940.0,1,623
623,26,219,1097008620.0,1,624
624,8,219,1097012700.0,1,625
625,6,219,1097067000.0,1,626
626,27,219,1097095920.0,1,627
627,59,219,1097216640.0,1,628
628,208,219,1097302860.0,1,629
629,77,219,1097389200.0,1,630
630,50,219,1097482740.0,1,631
631,10,219,1097488020.0,1,632
632,42,219,1097503200.0,1,633
633,152,28,1096942080.0,1,634
634,221,28,1096942500.0,1,635
635,4,28,1096943460.0,-1,636
636,222,28,1096943880.0,1,637
637,11,28,1096946040.0,1,638
638,223,28,1096949040.0,1,639
639,94,28,1096951680.0,-1,640
640,87,28,1096968060.0,1,641
641,14,28,1096973880.0,1,642
642,47,28,1096974780.0,1,643
643,9,28,1096977000.0,1,644
644,224,28,1096998720.0,1,645
645,42,28,1096999740.0,1,646
646,19,28,1097006700.0,1,647
647,26,28,1097008620.0,1,648
648,29,28,1097008920.0,1,649
649,55,28,1097010900.0,1,650
650,225,28,1097011020.0,1,651
651,226,28,1097012400.0,1,652
652,8,28,1097012640.0,1,653
653,154,28,1097014560.0,1,654
654,25,28,1097019780.0,1,655
655,36,28,1097019960.0,1,656
656,127,28,1097031600.0,1,657
657,54,28,1097053080.0,1,658
658,6,28,1097066880.0,1,659
659,143,28,1097081820.0,1,660
660,17,28,1097085720.0,1,661
661,128,28,1097089320.0,1,662
662,39,28,1097089800.0,1,663
663,50,28,1097090700.0,1,664
664,66,28,1097108100.0,1,665
665,27,28,1097118360.0,1,666
666,13,28,1097118420.0,-1,667
667,139,28,1097142840.0,1,668
668,147,28,1097172300.0,1,669
669,240,28,1097177160.0,-1,670
670,48,28,1097179620.0,-1,671
671,227,28,1097183640.0,1,672
672,104,28,1097194560.0,1,673
673,41,28,1097199120.0,1,674
674,151,28,1097248560.0,1,675
675,228,28,1097249220.0,1,676
676,242,28,1097283180.0,-1,677
677,243,28,1097335140.0,-1,678
678,3,28,1097351580.0,1,679
679,202,28,1097354400.0,-1,680
680,244,28,1097381940.0,-1,681
681,77,28,1097389320.0,1,682
682,245,28,1097401740.0,-1,683
683,75,28,1097417580.0,1,684
684,125,28,1097420160.0,1,685
685,215,28,1097435820.0,1,686
686,246,28,1097436540.0,-1,687
687,247,28,1097482140.0,-1,688
688,15,28,1097483340.0,1,689
689,230,28,1097521320.0,1,690
690,192,28,1097525640.0,1,691
691,231,28,1097533320.0,1,692
692,7,28,1097542380.0,1,693
693,232,28,1097549040.0,1,694
694,74,28,1097551320.0,1,695
695,233,28,1097561880.0,1,696
696,10,28,1097562420.0,1,697
697,158,28,1097567340.0,-1,698
698,59,28,1097569200.0,1,699
699,234,28,1097572980.0,1,700
700,235,28,1097573400.0,1,701
701,236,28,1097576100.0,1,702
702,237,28,1097588460.0,1,703
703,24,28,1097594580.0,1,704
704,78,28,1097615520.0,-1,705
705,248,28,1097623800.0,-1,706
706,238,28,1097625360.0,1,707
707,239,28,1097625480.0,1,708
708,58,28,1097629800.0,1,709
709,103,28,1097632080.0,1,710
710,169,28,1097632920.0,1,711
711,12,250,1096943100.0,1,712
712,19,250,1096945560.0,1,713
713,21,250,1096945560.0,1,714
714,11,250,1096945980.0,1,715
715,94,250,1096951140.0,-1,716
716,9,250,1096977000.0,1,717
717,42,250,1096999740.0,1,718
718,26,250,1097008800.0,1,719
719,20,250,1097009880.0,1,720
720,8,250,1097012580.0,1,721
721,55,250,1097018100.0,1,722
722,6,250,1097066760.0,1,723
723,143,250,1097081880.0,1,724
724,14,250,1097101860.0,1,725
725,48,250,1097179200.0,1,726
726,47,250,1097242200.0,1,727
727,138,250,1097276460.0,1,728
728,50,250,1097310900.0,1,729
729,243,250,1097333160.0,1,730
730,10,250,1097487840.0,1,731
731,28,250,1097522220.0,1,732
732,13,250,1098169320.0,1,733
733,90,252,1096963680.0,1,734
734,139,252,1096968180.0,1,735
735,11,252,1096974840.0,1,736
736,37,252,1096984500.0,1,737
737,23,252,1096987680.0,1,738
738,42,252,1097000040.0,1,739
739,19,252,1097006820.0,1,740
740,29,252,1097008800.0,1,741
741,26,252,1097008860.0,1,742
742,79,252,1097009520.0,1,743
743,20,252,1097009760.0,1,744
744,8,252,1097012460.0,1,745
745,154,252,1097014620.0,1,746
746,55,252,1097017980.0,1,747
747,25,252,1097019660.0,1,748
748,40,252,1097019960.0,1,749
749,127,252,1097031540.0,1,750
750,6,252,1097066940.0,1,751
751,41,252,1097075340.0,1,752
752,143,252,1097081700.0,1,753
753,39,252,1097089740.0,1,754
754,28,252,1097093760.0,1,755
755,21,252,1097116860.0,1,756
756,13,252,1097118180.0,1,757
757,94,252,1097158440.0,-1,758
758,48,252,1097179140.0,1,759
759,104,252,1097194440.0,1,760
760,46,252,1097197500.0,1,761
761,201,252,1097211360.0,1,762
762,80,252,1097214480.0,1,763
763,59,252,1097218260.0,1,764
764,47,252,1097242200.0,1,765
765,138,252,1097276760.0,1,766
766,152,252,1097348220.0,1,767
767,215,252,1097435820.0,1,768
768,50,252,1097482320.0,1,769
769,10,252,1097487780.0,1,770
770,74,252,1097551260.0,1,771
771,12,257,1097434500.0,1,772
772,215,257,1097435760.0,1,773
773,94,257,1097436960.0,-1,774
774,25,257,1097440620.0,-1,775
775,23,257,1097441880.0,1,776
776,26,257,1097444160.0,1,777
777,58,257,1097452380.0,1,778
778,50,257,1097462280.0,1,779
779,40,257,1097483880.0,1,780
780,169,257,1097510640.0,1,781
781,20,257,1097517960.0,1,782
782,236,257,1097551200.0,1,783
783,10,257,1097562480.0,-1,784
784,11,257,1097572980.0,1,785
785,253,257,1097611080.0,1,786
786,223,257,1097635380.0,1,787
787,254,257,1097674560.0,1,788
788,71,257,1097708100.0,1,789
789,47,257,1097728980.0,1,790
790,6,257,1097760300.0,1,791
791,74,257,1097785620.0,1,792
792,35,257,1097929140.0,1,793
793,19,257,1097951640.0,1,794
794,255,257,1098015720.0,1,795
795,256,257,1100239860.0,1,796
796,166,261,1097509200.0,1,797
797,94,261,1097511360.0,-1,798
798,9,261,1097514540.0,1,799
799,258,261,1097518560.0,1,800
800,8,261,1097518980.0,-1,801
801,25,261,1097520180.0,-1,802
802,29,261,1097520480.0,1,803
803,17,261,1097521140.0,1,804
804,72,261,1097521440.0,1,805
805,26,261,1097521800.0,1,806
806,28,261,1097534100.0,1,807
807,136,261,1097557140.0,1,808
808,10,261,1097562480.0,1,809
809,11,261,1097572860.0,1,810
810,14,261,1097577360.0,1,811
